10/07/2020 00:00:00> Change day.
CR-402>CR-402>10/07/2020 00:00:00>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:01> Communication changed.
CR-402>CR-402>10/07/2020 00:00:01> Communication changed.
CR-401>CR-401>10/07/2020 00:00:02>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:02>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:09>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:09>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:16>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:16>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:23>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:23>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:30>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:30>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:37>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:37>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:44>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:44>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:51>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:51>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>10/07/2020 00:00:58>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:00:58>Open comport =COM16:9600,N,8,1.
10/07/2020 00:01:05> Reconnect database.
CR-401>CR-401>10/07/2020 00:01:05> Communication changed.
CR-402>CR-402>10/07/2020 00:01:05> Communication changed.
10/07/2020 00:01:06> SERVER A-LLTLB
10/07/2020 00:01:06> Database connect successful.
CR-401>CR-401>10/07/2020 00:01:07>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>10/07/2020 00:01:07>Open comport =COM8:9600,N,8,1.
10/07/2020 00:01:09><------------Application Stop-------------->
