15/03/2018 11:06:52><------------Application Start------------->
15/03/2018 11:07:28> SERVER A-LLTLBA
15/03/2018 11:07:28> Database connect successful.
CR-401>CR-401>15/03/2018 11:07:29> Create CR-401 successful.[Adddress=1]
CR-402>CR-402>15/03/2018 11:07:30> Create CR-402 successful.[Adddress=2]
CR-401>CR-401>15/03/2018 11:07:30>Initial comport id=106007:COM7,9600,N,8,1
CR-401>CR-401>15/03/2018 11:07:30>Initial comport id=106015:COM15,9600,N,8,1
CR-402>CR-402>15/03/2018 11:07:30>Initial comport id=106008:COM8,9600,N,8,1
CR-402>CR-402>15/03/2018 11:07:30>Initial comport id=106016:COM16,9600,N,8,1
CR-401>CR-401>15/03/2018 11:07:30>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:07:31>Open comport =COM8:9600,N,8,1.
15/03/2018 11:07:33>Initial Card Reader CR-401 Addr=1, COM7:COM15
15/03/2018 11:07:33>Initial Card Reader CR-402 Addr=2, COM8:COM16
CR-401>CR-401>15/03/2018 11:07:38>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:07:38>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:07:45>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:07:45>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:07:52>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:07:52>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:07:59>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:07:59>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:06>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:06>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:13>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:14>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:21>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:21>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:28>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:28>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:34> Communication changed.
CR-402>CR-402>15/03/2018 11:08:35>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:35>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:35> Communication changed.
CR-402>CR-402>15/03/2018 11:08:36>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:42>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:43>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:49>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:50>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:08:56>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:08:57>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:03>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:04>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:10>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:11>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:18>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:19>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:25>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:26>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:32>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:33>Open comport =COM16:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:35> Communication changed.
CR-401>CR-401>15/03/2018 11:09:35>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:36> Communication changed.
CR-402>CR-402>15/03/2018 11:09:36>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:42>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:43>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:49>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:50>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:09:56>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:09:57>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:10:04>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:10:04>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:10:11>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:10:12>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:10:18>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:10:19>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:10:25>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:10:26>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:10:32>Open comport =COM7:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:10:33>Open comport =COM8:9600,N,8,1.
CR-401>CR-401>15/03/2018 11:10:35> Communication changed.
CR-401>CR-401>15/03/2018 11:10:35>Open comport =COM15:9600,N,8,1.
CR-402>CR-402>15/03/2018 11:10:36> Communication changed.
CR-402>CR-402>15/03/2018 11:10:36>Open comport =COM16:9600,N,8,1.
15/03/2018 11:10:38><------------Application Stop-------------->
